id;target number;weight level;time;;total time
2;1;light;5,942236
2;2;light;1,422225
2;3;light;1,388891
2;4;light;1,200002
2;5;light;1,855559
2;6;light;1,211113
2;7;light;1,855559
2;8;light;1,233335
2;9;light;1,677781
2;10;light;1,900004
2;11;light;1,644447
2;12;light;1,744448
2;13;light;1,37778
2;14;light;1,611114
2;15;light;1,611114
2;16;light;1,633336
2;17;light;1,688892
2;18;light;2,28889
2;19;light;0,9444456
2;20;light;1,188891
2;21;light;1,222224
2;22;light;1,355558
2;23;light;1,422225
2;24;light;1,466669
2;25;light;0,9888902
2;26;light;1,133335
2;27;light;1,033335
2;28;light;1,466669
2;29;light;1,17778
2;30;light;1,388891
2;31;light;1,122224
2;32;light;1,800003
2;33;light;1,47778
2;34;light;1,600003
2;35;light;1,188891
2;36;light;1,344447
2;37;light;1,077779
2;38;light;1,311113
2;39;light;1,111113
2;40;light;1,044446
2;41;light;1,466669
2;42;light;1,522225
2;43;light;1,211113
2;44;light;1,411114
2;45;light;1,511114
2;46;light;1,188891
2;47;light;1,466669
2;48;light;1,08889
2;49;light;1,700003
2;50;light;1,588892
2;51;light;1,37778
;;;;;76,6868
2;1;heavy;2,74222
2;1;heavy;9,453394
2;2;heavy;1,27778
2;3;heavy;1,577781
2;4;heavy;1,533336
2;5;heavy;1,122224
2;6;heavy;1,533336
2;7;heavy;0,977779
2;8;heavy;1,488891
2;9;heavy;0,9222233
2;10;heavy;1,044446
2;11;heavy;1,733337
2;12;heavy;0,9888902
2;13;heavy;1,422225
2;14;heavy;1,47778
2;15;heavy;1,855559
2;16;heavy;1,000001
2;17;heavy;1,355558
2;18;heavy;1,211113
2;19;heavy;1,466669
2;20;heavy;2,599999
2;21;heavy;1,322224
2;22;heavy;1,433336
2;23;heavy;1,500003
2;24;heavy;1,155557
2;25;heavy;1,211113
2;26;heavy;1,155557
2;27;heavy;1,188891
2;28;heavy;1,400002
2;29;heavy;1,222224
2;30;heavy;1,566669
2;31;heavy;1,555558
2;32;heavy;1,37778
2;33;heavy;1,422225
2;34;heavy;1,955559
2;35;heavy;1,011112
2;36;heavy;1,222224
2;37;heavy;1,955559
2;38;heavy;1,322224
2;39;heavy;1,655559
2;40;heavy;1,611114
