id;target number;weight level;time;;total time
3;1;light;8,553382;;
3;2;light;5,022223;;
3;3;light;1,677781;;
3;4;light;2,266668;;
3;5;light;1,355558;;
3;6;light;1,333336;;
3;7;light;1,08889;;
3;8;light;1,633336;;
3;9;light;1,17778;;
3;10;light;1,27778;;
3;11;light;0,9222233;;
3;12;light;1,144446;;
3;13;light;1,311113;;
3;14;light;1,233335;;
3;15;light;1,366669;;
3;16;light;1,622225;;
3;17;light;1,655559;;
3;18;light;1,37778;;
3;19;light;1,733337;;
3;20;light;1,722225;;
;;;;;39,47565
3;1;medium;2,575555;;
3;2;medium;1,511114;;
3;3;medium;1,255558;;
3;4;medium;1,555558;;
3;5;medium;1,188891;;
3;6;medium;1,255558;;
3;7;medium;2,011115;;
3;8;medium;1,555558;;
3;9;medium;1,266669;;
3;10;medium;1,388891;;
3;11;medium;1,37778;;
3;12;medium;1,500003;;
3;13;medium;1,044446;;
3;14;medium;1,255558;;
3;15;medium;1,100002;;
3;16;medium;1,511114;;
3;17;medium;1,333336;;
3;18;medium;1,433336;;
3;19;medium;1,244446;;
3;20;medium;1,433336;;
3;21;medium;1,522225;;
3;22;medium;1,47778;;
3;23;medium;1,27778;;
3;24;medium;1,222224;;
3;25;medium;1,188891;;
3;26;medium;1,066668;;
3;27;medium;1,288891;;
3;28;medium;1,37778;;
3;29;medium;1,444447;;
3;30;medium;1,044446;;
3;31;medium;1,37778;;
3;32;medium;1,511114;;
3;33;medium;2,444445;;
3;34;medium;1,533336;;
3;35;medium;1,400002;;
3;36;medium;1,311113;;
3;37;medium;1,155557;;
3;38;medium;0,900001;;
3;39;medium;1,911115;;
3;40;medium;1,322224;;
3;41;medium;0,9888902;;
3;42;medium;1,211113;;
3;43;medium;1,233335;;
3;44;medium;0,9444456;;
3;45;medium;2,06667;;
3;46;medium;1,077779;;
3;47;medium;1,300002;;
3;48;medium;1,055557;;
3;49;medium;0,8444453;;
3;50;medium;1,47778;;
3;51;medium;1,133335;;
;;;;;69,90899
3;1;heavy;9,875622;;
3;2;heavy;1,188891;;
3;3;heavy;2,300001;;
3;4;heavy;1,500003;;
3;5;heavy;1,333336;;
3;6;heavy;1,900004;;
3;7;heavy;1,288891;;
3;8;heavy;2,244446;;
3;9;heavy;1,333336;;
3;10;heavy;1,411114;;
3;11;heavy;1,433336;;
3;12;heavy;1,222224;;
3;13;heavy;1,411114;;
3;14;heavy;1,322224;;
3;15;heavy;1,322224;;
3;16;heavy;2,400001;;
3;17;heavy;1,655559;;
3;18;heavy;1,533336;;
3;19;heavy;1,255558;;
3;20;heavy;1,188891;;
3;21;heavy;2,111114;;
3;22;heavy;1,288891;;
3;23;heavy;1,244446;;
3;24;heavy;1,155557;;
3;25;heavy;1,500003;;
3;26;heavy;2,077781;;
3;27;heavy;1,266669;;
3;28;heavy;1,611114;;
3;29;heavy;1,200002;;
