time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0;0,000319384;0,000319384;(0.0086164470, 1.1540060000);(-0.0999359200, 1.4553410000, -0.1084300000);1,619433;3,173462;;;0,008616447;1,154006;;;;;
0;0,000319384;0;(0.0086164470, 1.1540060000);(-0.0999359200, 1.4553410000, -0.1084300000);1,619433;3,173462;;;0,008616447;1,154006;;;0;;
0,0119376;6,01388E-05;0,000259245;(0.0088753100, 1.1540210000);(-0.0999359200, 1.4553410000, -0.1084300000);1,619179;3,173208;;;0,00887531;1,154021;;;0,000259297;;-0,000259297
0,0225556;-0,000234901;0,00029504;(0.0091598630, 1.1539430000);(-0.0999359200, 1.4553410000, -0.1084300000);1,618886;3,172954;;;0,009159863;1,153943;;;0,00029505;;-0,000554347
0,0337953;-0,000350566;0,000115666;(0.0092681050, 1.1539020000);(-0.0998333400, 1.4553400000, -0.1084181000);1,618773;3,17286;;;0,009268105;1,153902;;;0,000115747;;-0,000670094
0,0555755;-0,000555315;0,000204749;(0.0094723110, 1.1538870000);(-0.0998333400, 1.4553400000, -0.1084181000);1,618569;3,172667;;;0,009472311;1,153887;;;0,000204756;;-0,00087485
0,0664982;-0,0006333;7,79851E-05;(0.0095366240, 1.1539310000);(-0.0996956200, 1.4553150000, -0.1083537000);1,618512;3,172593;;;0,009536624;1,153931;;;7,79241E-05;;-0,000952774
0,0664982;-0,0006333;0;(0.0095366240, 1.1539310000);(-0.0996956200, 1.4553150000, -0.1083537000);1,618512;3,172593;;;0,009536624;1,153931;;;0;;-0,000952774
0,0778437;-0,000721607;8,83071E-05;(0.0096176270, 1.1539660000);(-0.0996198700, 1.4552470000, -0.1083405000);1,618437;3,172506;;;0,009617627;1,153966;;;8,82411E-05;;-0,000864533
0,08921169;-0,000795187;7,358E-05;(0.0096472500, 1.1540340000);(-0.0996198700, 1.4552470000, -0.1083405000);1,618418;3,17246;;;0,00964725;1,154034;;;7,41722E-05;;-0,000938705
0,1001544;-0,000750109;4,50782E-05;(0.0096320510, 1.1540760000);(-0.0993739400, 1.4551670000, -0.1083310000);1,618439;3,172463;;;0,009632051;1,154076;;;4,46655E-05;;-0,000983371
0,1112181;-0,000685361;6,47478E-05;(0.0096305610, 1.1541410000);(-0.0993739400, 1.4551670000, -0.1083310000);1,61845;3,172448;;;0,009630561;1,154141;;;6,50171E-05;;-0,000918354
0,122404;-0,000806874;0,000121513;(0.0096486210, 1.1540210000);(-0.0992250100, 1.4551020000, -0.1082721000);1,618415;3,172462;;;0,009648621;1,154021;;;0,000121351;;-0,000797002
