time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;
;;;;;;;;;;
0;0,000330165;0,000330165;(0.0086164470, 1.1540060000, 0.4328336000);(-0.0999359200, 1.4553410000, -0.1084300000);4,422989;4,552951;;;0,008616447;1,154006
0;0,000330165;0;(0.0086164470, 1.1540060000, 0.4328336000);(-0.0999359200, 1.4553410000, -0.1084300000);4,422989;4,552951;;;0,008616447;1,154006
0,0119376;6,98319E-05;0,000260333;(0.0088753100, 1.1540210000, 0.4328098000);(-0.0999359200, 1.4553410000, -0.1084300000);4,422918;4,552792;;;0,00887531;1,154021
0,0225556;-0,000242965;0,000312797;(0.0091598630, 1.1539430000, 0.4327059000);(-0.0999359200, 1.4553410000, -0.1084300000);4,422908;4,552689;;;0,009159863;1,153943
0,0337953;-0,000110622;0,000132343;(0.0092681050, 1.1539020000, 0.4326416000);(-0.0998333400, 1.4553400000, -0.1084181000);4,422926;4,55267;;;0,009268105;1,153902
0,0555755;-0,000325341;0,000214719;(0.0094723110, 1.1538870000, 0.4325770000);(-0.0998333400, 1.4553400000, -0.1084181000);4,422912;4,552581;;;0,009472311;1,153887
0,0664982;-0,000240133;8,52079E-05;(0.0095366240, 1.1539310000, 0.4325426000);(-0.0996956200, 1.4553150000, -0.1083537000);4,422923;4,552555;;;0,009536624;1,153931
0,0664982;-0,000240133;0;(0.0095366240, 1.1539310000, 0.4325426000);(-0.0996956200, 1.4553150000, -0.1083537000);4,422923;4,552555;;;0,009536624;1,153931
0,0778437;-0,000343087;0,000102954;(0.0096176270, 1.1539660000, 0.4325956000);(-0.0996198700, 1.4552470000, -0.1083405000);4,422846;4,552455;;;0,009617627;1,153966
0,08921169;-0,000446621;0,000103534;(0.0096472500, 1.1540340000, 0.4326684000);(-0.0996198700, 1.4552470000, -0.1083405000);4,422771;4,552371;;;0,00964725;1,154034
0,1001544;-0,000556544;0,000109923;(0.0096320510, 1.1540760000, 0.4327686000);(-0.0993739400, 1.4551670000, -0.1083310000);4,422686;4,552302;;;0,009632051;1,154076
0,1112181;-0,000636324;7,978E-05;(0.0096305610, 1.1541410000, 0.4328153000);(-0.0993739400, 1.4551670000, -0.1083310000);4,422647;4,552258;;;0,009630561;1,154141
0,122404;-0,000762642;0,000126318;(0.0096486210, 1.1540210000, 0.4328498000);(-0.0992250100, 1.4551020000, -0.1082721000);4,422601;4,552243;;;0,009648621;1,154021
0,13385;-0,000560548;0,000202094;(0.0097479820, 1.1538520000, 0.4327980000);(-0.0992250100, 1.4551020000, -0.1082721000);4,422605;4,552243;;;0,009747982;1,153852
