time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(-1.6837, 1.2118, 3.5978);(-3.3434, 1.5496, 2.5342)

0;-0,0004486226;(-0.0959, 1.1706, -0.5260);(0.1030, 1.4503, -1.0705);4,4192;4,4782
0,012056;-0,001191993;(-0.0966, 1.1703, -0.5263);(0.1031, 1.4502, -1.0705);4,4192;4,4779
0,0284346;-0,00172577;(-0.0968, 1.1700, -0.5258);(0.1031, 1.4502, -1.0706);4,4187;4,4775
0,0348638;-0,00220975;(-0.0972, 1.1698, -0.5258);(0.1030, 1.4502, -1.0705);4,4185;4,4772
0,0445354;-0,0004768894;(-0.0984, 1.1705, -0.5270);(0.1030, 1.4501, -1.0705);4,4192;4,4771
0,0557301;0,001763622;(-0.0999, 1.1711, -0.5284);(0.1028, 1.4502, -1.0705);4,4200;4,4769
0,0665539;0,001261562;(-0.1000, 1.1716, -0.5285);(0.1027, 1.4502, -1.0705);4,4200;4,4768
0,0780594;0,0019751;(-0.0999, 1.1709, -0.5285);(0.1027, 1.4501, -1.0705);4,4201;4,4770
0,0885762;0,001487394;(-0.0999, 1.1714, -0.5285);(0.1027, 1.4501, -1.0706);4,4201;4,4770
0,099578;0,0003158362;(-0.0992, 1.1709, -0.5277);(0.1026, 1.4501, -1.0707);4,4196;4,4770
0,1107176;-0,0004671738;(-0.0997, 1.1704, -0.5274);(0.1024, 1.4500, -1.0709);4,4191;4,4765
0,1218256;-0,001078946;(-0.0993, 1.1702, -0.5270);(0.1024, 1.4500, -1.0709);4,4188;4,4765
0,1329909;-0,0009439436;(-0.0993, 1.1703, -0.5271);(0.1023, 1.4499, -1.0710);4,4190;4,4766
0,1440613;-0,0003386976;(-0.0996, 1.1698, -0.5274);(0.1022, 1.4499, -1.0710);4,4192;4,4766
0,1553397;0,0005386799;(-0.0994, 1.1707, -0.5277);(0.1022, 1.4499, -1.0711);4,4195;4,4768
0,1664557;0,001136883;(-0.0995, 1.1701, -0.5280);(0.1021, 1.4499, -1.0711);4,4197;4,4770
0,1817691;0,0008624638;(-0.0997, 1.1701, -0.5280);(0.1020, 1.4499, -1.0712);4,4196;4,4768
0,1898356;0,0005220658;(-0.1000, 1.1700, -0.5281);(0.1018, 1.4499, -1.0713);4,4196;4,4767
0,1997456;0,0002913798;(-0.1002, 1.1701, -0.5281);(0.1017, 1.4499, -1.0713);4,4196;4,4766
0,21104;-0,0001706927;(-0.1005, 1.1704, -0.5281);(0.1016, 1.4499, -1.0713);4,4195;4,4763
0,2225439;-0,001618009;(-0.1015, 1.1715, -0.5283);(0.1015, 1.4499, -1.0714);4,4193;4,4757
0,2331431;-0,0001505611;(-0.1026, 1.1723, -0.5289);(0.1013, 1.4499, -1.0715);4,4195;4,4752
0,2443127;-0,001939181;(-0.1039, 1.1735, -0.5291);(0.1013, 1.4498, -1.0715);4,4192;4,4743
0,2553256;-0,003563679;(-0.1051, 1.1746, -0.5291);(0.1010, 1.4499, -1.0716);4,4188;4,4734
0,2664239;-0,006712317;(-0.1075, 1.1765, -0.5297);(0.1008, 1.4499, -1.0717);4,4184;4,4719
0,2777261;-0,01029757;(-0.1093, 1.1796, -0.5293);(0.1006, 1.4500, -1.0718);4,4174;4,4700
0,2887332;-0,01499629;(-0.1133, 1.1819, -0.5301);(0.1005, 1.4501, -1.0717);4,4167;4,4675
0,3002962;-0,02091041;(-0.1181, 1.1851, -0.5312);(0.1003, 1.4503, -1.0717);4,4160;4,4645
0,310824;-0,02689512;(-0.1231, 1.1884, -0.5319);(0.1001, 1.4504, -1.0716);4,4149;4,4612
0,3220911;-0,03267366;(-0.1279, 1.1915, -0.5328);(0.0999, 1.4505, -1.0716);4,4140;4,4581
0,3393636;-0,03951972;(-0.1340, 1.1941, -0.5345);(0.0997, 1.4506, -1.0716);4,4134;4,4546
0,3440958;-0,04919492;(-0.1424, 1.1978, -0.5375);(0.0995, 1.4507, -1.0716);4,4132;4,4503
0,3551371;-0,05581113;(-0.1483, 1.2006, -0.5387);(0.0994, 1.4507, -1.0716);4,4124;4,4467
0,3663613;-0,06372319;(-0.1555, 1.2036, -0.5402);(0.0991, 1.4508, -1.0715);4,4113;4,4424
0,3775485;-0,07151503;(-0.1625, 1.2065, -0.5419);(0.0989, 1.4508, -1.0716);4,4104;4,4383
0,3885622;-0,07990082;(-0.1702, 1.2089, -0.5440);(0.0987, 1.4508, -1.0716);4,4097;4,4340
0,4008047;-0,087911;(-0.1776, 1.2114, -0.5461);(0.0984, 1.4507, -1.0717);4,4092;4,4300
0,4106375;-0,09614159;(-0.1852, 1.2136, -0.5484);(0.0981, 1.4507, -1.0718);4,4087;4,4260
0,421971;-0,1043596;(-0.1927, 1.2154, -0.5509);(0.0978, 1.4507, -1.0718);4,4085;4,4222
0,4328631;-0,112407;(-0.2002, 1.2173, -0.5533);(0.0975, 1.4508, -1.0720);4,4083;4,4185
0,4439362;-0,1206448;(-0.2078, 1.2190, -0.5560);(0.0970, 1.4509, -1.0721);4,4082;4,4148
0,4552585;-0,1128983;(-0.2149, 1.2208, -0.5586);(0.0966, 1.4509, -1.0721);4,4084;4,4115
0,4663639;-0,105311;(-0.2217, 1.2224, -0.5615);(0.0962, 1.4509, -1.0722);4,4088;4,4085
0,4773956;-0,09730747;(-0.2290, 1.2240, -0.5644);(0.0957, 1.4509, -1.0723);4,4092;4,4053
0,4932103;-0,08960139;(-0.2358, 1.2254, -0.5677);(0.0952, 1.4509, -1.0725);4,4100;4,4027
0,4994603;-0,08250893;(-0.2421, 1.2266, -0.5707);(0.0948, 1.4508, -1.0727);4,4108;4,4003
0,5112095;-0,07618418;(-0.2476, 1.2275, -0.5737);(0.0943, 1.4508, -1.0729);4,4118;4,3984
0,5218306;-0,06964113;(-0.2534, 1.2288, -0.5764);(0.0938, 1.4507, -1.0730);4,4126;4,3962
0,5329266;-0,06391896;(-0.2584, 1.2295, -0.5792);(0.0932, 1.4506, -1.0732);4,4135;4,3946
0,5440711;-0,05867173;(-0.2629, 1.2300, -0.5819);(0.0926, 1.4506, -1.0735);4,4146;4,3934
0,5551362;-0,05356009;(-0.2673, 1.2306, -0.5843);(0.0920, 1.4505, -1.0737);4,4156;4,3920
0,5662505;-0,04925156;(-0.2709, 1.2309, -0.5866);(0.0914, 1.4504, -1.0740);4,4166;4,3910
0,5773657;-0,04538037;(-0.2741, 1.2312, -0.5888);(0.0909, 1.4504, -1.0743);4,4176;4,3903
0,5883621;-0,04092832;(-0.2779, 1.2312, -0.5912);(0.0903, 1.4503, -1.0746);4,4187;4,3894
0,5995884;-0,03759131;(-0.2805, 1.2315, -0.5932);(0.0897, 1.4502, -1.0751);4,4197;4,3889
0,6118692;-0,03417069;(-0.2831, 1.2319, -0.5954);(0.0890, 1.4502, -1.0754);4,4210;4,3887
0,6223056;-0,03058011;(-0.2859, 1.2327, -0.5975);(0.0883, 1.4501, -1.0758);4,4221;4,3882
0,6331264;-0,02783181;(-0.2881, 1.2328, -0.5992);(0.0877, 1.4500, -1.0761);4,4230;4,3879
0,6484401;-0,02502939;(-0.2902, 1.2330, -0.6011);(0.0871, 1.4500, -1.0765);4,4242;4,3877
0,6553361;-0,02289866;(-0.2918, 1.2329, -0.6025);(0.0865, 1.4500, -1.0768);4,4250;4,3876
0,666324;-0,02067932;(-0.2932, 1.2326, -0.6042);(0.0858, 1.4500, -1.0773);4,4262;4,3879
0,6773688;-0,01883813;(-0.2944, 1.2324, -0.6055);(0.0852, 1.4500, -1.0776);4,4270;4,3880
0,6884084;-0,01717567;(-0.2955, 1.2325, -0.6067);(0.0847, 1.4501, -1.0779);4,4278;4,3881
0,6996339;-0,01565861;(-0.2966, 1.2322, -0.6078);(0.0841, 1.4501, -1.0783);4,4285;4,3881
0,7107074;-0,0142695;(-0.2976, 1.2320, -0.6087);(0.0835, 1.4501, -1.0786);4,4290;4,3881
0,7217642;-0,01289358;(-0.2986, 1.2320, -0.6097);(0.0830, 1.4501, -1.0790);4,4297;4,3881
0,7331215;-0,01141999;(-0.2997, 1.2319, -0.6107);(0.0825, 1.4500, -1.0793);4,4303;4,3881
0,7437198;-0,01043103;(-0.3002, 1.2318, -0.6115);(0.0820, 1.4500, -1.0797);4,4309;4,3883
0,7546478;-0,009269612;(-0.3010, 1.2315, -0.6123);(0.0815, 1.4499, -1.0802);4,4315;4,3884
0,7660201;-0,008535304;(-0.3012, 1.2314, -0.6130);(0.0810, 1.4499, -1.0806);4,4320;4,3887
0,7768221;-0,007800355;(-0.3015, 1.2313, -0.6137);(0.0805, 1.4499, -1.0810);4,4325;4,3890
