time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;;;
(-3.5460, 3.2766, 2.2280);(-2.3057, 2.2193, 3.3873);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
0;0,000454307;0,000454307;(-0.6719, 1.4347, -0.6889);(-0.3007, 1.5001, -1.1382);4,4901;4,461;;;-0,6718707;1,434716;0;;;;;;
0,0116216;0,000723531;0,000269223;(-0.6721, 1.4345, -0.6889);(-0.3008, 1.5001, -1.1382);4,4901;4,461;;;-0,6720506;1,434531;-0,423287;;0;;0;;
0,0223771;0,000889124;0,000165593;(-0.6721, 1.4344, -0.6890);(-0.3007, 1.5002, -1.1383);4,4902;4,4611;;;-0,6721389;1,434418;-0,3972809;;0,026006495;;0,026006495;;0,026006495
0,0336328;0,000716155;0,000172968;(-0.6723, 1.4343, -0.6891);(-0.3007, 1.5002, -1.1383);4,4902;4,4611;;;-0,6722718;1,434316;-0,3972809;;0,00016753;;0,00016753;;0,026174026
0,0448872;0,000482745;0,000233411;(-0.6725, 1.4342, -0.6891);(-0.3008, 1.5002, -1.1382);4,4901;4,461;;;-0,6724887;1,434238;-0,3972809;;0,000230499;;0,000230499;;6,29683E-05
0,0560165;0,000246739;0,000236006;(-0.6727, 1.4342, -0.6892);(-0.3008, 1.5002, -1.1382);4,49;4,461;;;-0,672709;1,434175;-0,3972809;;0,000229131;;0,000229131;;-1,36745E-06
0,0560165;0,000246739;0;(-0.6727, 1.4342, -0.6892);(-0.3008, 1.5002, -1.1382);4,49;4,461;;;-0,672709;1,434175;-0,3972809;;0;;0;;0,000229131
0,0843133;1,4379E-06;0,000245301;(-0.6729, 1.4341, -0.6892);(-0.3010, 1.5002, -1.1381);4,4899;4,461;;;-0,6729254;1,434078;-0,3972809;;0,000237145;;0,000237145;;0,000237145
0,0951563;0,000124449;0,000123011;(-0.6730, 1.4340, -0.6893);(-0.3010, 1.5002, -1.1381);4,49;4,4611;;;-0,6729543;1,434017;-0,3972809;;6,74997E-05;;6,74997E-05;;0,000304645
0,1085215;-5,40883E-05;0,000178537;(-0.6731, 1.4339, -0.6893);(-0.3009, 1.5003, -1.1380);4,4899;4,4611;;;-0,673114;1,433938;-0,3972809;;0,000178172;;0,000178172;;0,000110672
0,1200243;-0,00037121;0,000317121;(-0.6734, 1.4338, -0.6894);(-0.3011, 1.5003, -1.1379);4,4899;4,461;;;-0,67339;1,433799;-0,3972809;;0,000309026;;0,000309026;;0,000487197
0,1310098;-0,000504458;0,000133248;(-0.6735, 1.4338, -0.6894);(-0.3011, 1.5002, -1.1378);4,4898;4,461;;;-0,6735133;1,433834;-0,3972809;;0,000128171;;0,000128171;;-0,000180855
0,1425353;-0,000649372;0,000144914;(-0.6736, 1.4339, -0.6895);(-0.3011, 1.5003, -1.1377);4,4897;4,461;;;-0,6736425;1,433881;-0,3972809;;0,000137483;;0,000137483;;9,3119E-06
0,1531902;-0,0006795;3,01E-05;(-0.6736, 1.4339, -0.6895);(-0.3011, 1.5003, -1.1377);4,4897;4,461;;;-0,6736443;1,433906;-0,3972809;;2,50647E-05;;2,50647E-05;;0,000162548
0,1644175;-0,000553421;0,000126079;(-0.6736, 1.4338, -0.6894);(-0.3011, 1.5003, -1.1376);4,4898;4,461;;;-0,6735534;1,433845;-0,3972809;;0,000109471;;0,000109471;;0,000134535
0,1756204;-8,33627E-05;0,000470058;(-0.6732, 1.4336, -0.6892);(-0.3011, 1.5003, -1.1375);4,4899;4,461;;;-0,6732166;1,433602;-0,3972809;;0,000415311;;0,000415311;;0,000524782
0,1866946;0,000557207;0,000640569;(-0.6728, 1.4332, -0.6889);(-0.3010, 1.5003, -1.1374);4,4902;4,4609;;;-0,6727755;1,433244;-0,3972809;;0,000568096;;0,000568096;;0,000983407
0,1977656;0,001930733;0,001373526;(-0.6720, 1.4324, -0.6882);(-0.3011, 1.5002, -1.1374);4,4905;4,4607;;;-0,671974;1,432428;-0,3972809;;0,001143791;;0,001143791;;0,001711887
0,2091867;0,004353691;0,002422958;(-0.6704, 1.4310, -0.6870);(-0.3011, 1.5002, -1.1373);4,4914;4,4605;;;-0,6703614;1,431034;-0,3972809;;0,002131599;;0,002131599;;0,00327539
0,2091867;0,004353691;0;(-0.6704, 1.4310, -0.6870);(-0.3011, 1.5002, -1.1373);4,4914;4,4605;;;-0,6703614;1,431034;-0,3972809;;0;;0;;0,002131599
0,2317825;0,009826299;0,005472608;(-0.6668, 1.4278, -0.6844);(-0.3010, 1.5001, -1.1371);4,4933;4,4599;;;-0,6668339;1,427785;-0,3972809;;0,004795754;;0,004795754;;0,004795754
