time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;
(-2.3057, 2.2193, 3.3873);(-2.6818, 0.2784, 3.0852);;;;;;;;;;;;
;;;;;;;;;;;;;
0;-0,000202231;0,000202231;(-0.5290, 1.3159, -0.5968);(-0.2939, 1.4973, -1.1247);4,4549;4,3895;;;-0,5290294;1,315854;0;;
0,0115014;-0,000366533;0,000164302;(-0.5291, 1.3160, -0.5967);(-0.2939, 1.4973, -1.1246);4,4548;4,3894;;;-0,5290855;1,315996;-0,423287;;0,423287028
0,0226383;-2,92155E-05;0,000337318;(-0.5287, 1.3160, -0.5967);(-0.2939, 1.4973, -1.1245);4,4549;4,3896;;;-0,5287491;1,315989;-0,3972809;;0,026008277
0,033795;-0,000218623;0,000189407;(-0.5286, 1.3160, -0.5966);(-0.2938, 1.4972, -1.1243);4,4548;4,3896;;;-0,5286021;1,316028;-0,3972809;;0,000152086
0,0544869;-0,000453827;0,000235205;(-0.5284, 1.3160, -0.5965);(-0.2938, 1.4972, -1.1241);4,4548;4,3895;;;-0,5284119;1,315988;-0,3972809;;0,000194361
0,0609574;-0,000635744;0,000181917;(-0.5283, 1.3159, -0.5964);(-0.2938, 1.4971, -1.1241);4,4548;4,3895;;;-0,5282792;1,31592;-0,3972809;;0,000149108
0,072629;-0,001031645;0,000395901;(-0.5281, 1.3158, -0.5960);(-0.2937, 1.4970, -1.1240);4,4545;4,3892;;;-0,528141;1,31582;-0,3972809;;0,000170585
0,0863626;-0,00029402;0,000737625;(-0.5276, 1.3154, -0.5957);(-0.2936, 1.4969, -1.1237);4,4545;4,3891;;;-0,5276385;1,315382;-0,3972809;;0,000666596
0,0976474;0,000504218;0,000798238;(-0.5271, 1.3149, -0.5954);(-0.2937, 1.4969, -1.1236);4,4546;4,3891;;;-0,5270605;1,314892;-0,3972809;;0,000757749
0,1086972;0,001350362;0,000846144;(-0.5265, 1.3143, -0.5952);(-0.2937, 1.4970, -1.1235);4,4547;4,389;;;-0,526517;1,314308;-0,3972809;;0,000797777
0,1197575;0,002250653;0,000900291;(-0.5259, 1.3137, -0.5949);(-0.2935, 1.4969, -1.1233);4,4549;4,3889;;;-0,5259317;1,31367;-0,3972809;;0,000865806
0,1309709;0,003181578;0,000930925;(-0.5254, 1.3130, -0.5947);(-0.2935, 1.4969, -1.1232);4,455;4,3888;;;-0,5253562;1,31298;-0,3972809;;0,000898499
0,1419525;0,004363587;0,001182009;(-0.5246, 1.3121, -0.5945);(-0.2934, 1.4969, -1.1229);4,4553;4,3888;;;-0,5246018;1,312095;-0,3972809;;0,001162903
0,1528479;0,005649775;0,001286188;(-0.5239, 1.3110, -0.5943);(-0.2933, 1.4969, -1.1228);4,4557;4,3888;;;-0,5238686;1,311046;-0,3972809;;0,001279837
0,1643575;0,007400824;0,001751049;(-0.5230, 1.3095, -0.5943);(-0.2932, 1.4968, -1.1226);4,4563;4,3889;;;-0,5230287;1,30951;-0,3972809;;0,001750636
0,1754772;0,00879368;0,001392856;(-0.5223, 1.3083, -0.5942);(-0.2932, 1.4967, -1.1225);4,4568;4,3888;;;-0,5223459;1,3083;-0,3972809;;0,001389358
0,1862428;0,010452716;0,001659036;(-0.5217, 1.3068, -0.5940);(-0.2931, 1.4967, -1.1223);4,4571;4,3886;;;-0,5217227;1,306778;-0,3972809;;0,001644647
0,1862428;0,010452716;0;(-0.5217, 1.3068, -0.5940);(-0.2931, 1.4967, -1.1223);4,4571;4,3886;;;-0,5217227;1,306778;-0,3972809;;0
0,2082703;0,014373261;0,003920545;(-0.5209, 1.3030, -0.5941);(-0.2929, 1.4965, -1.1219);4,4583;4,3882;;;-0,5208703;1,302952;-0,3972809;;0,003919804
0,2194263;0,016507779;0,002134518;(-0.5204, 1.3009, -0.5941);(-0.2928, 1.4963, -1.1217);4,4589;4,3879;;;-0,5204412;1,300861;-0,3972809;;0,002134574
0,2305362;0,019394936;0,002887157;(-0.5201, 1.2980, -0.5941);(-0.2927, 1.4962, -1.1216);4,4596;4,3874;;;-0,5201283;1,297991;-0,3972809;;0,002887006
0,2417131;0,022414714;0,003019778;(-0.5199, 1.2950, -0.5938);(-0.2928, 1.4961, -1.1213);4,4601;4,3865;;;-0,5199024;1,294992;-0,3972809;;0,003007496
0,2529385;0,026004488;0,003589774;(-0.5199, 1.2914, -0.5937);(-0.2927, 1.4959, -1.1212);4,4608;4,3857;;;-0,5199124;1,291403;-0,3972809;;0,003589014
