time;distance
0;0,0002058827
0;0,0002527275
0,0290228;-0,0002465766
0,0399428;-0,0001197091
0,0512778;-0,0003839398
0,0624393;-3,094028E-07
0,0735219;0,0002244207
0,0841261;1,634387E-05
0,0952316;0,0002082748
0,1062332;0,0002652424
0,1173268;0,000888227
0,1284911;0,0009696839
0,1394626;0,001089277
0,1504706;0,0006447461
0,1622539;0,0006039716
0,1725944;0,000781711
0,1837697;0,0009859917
0,1950111;0,001058217
0,2060338;0,001219063
0,2172437;0,001712441
0,2284635;0,002293767
0,239818;0,003000068
0,2506978;0,003893315
0,2620583;0,004826853
0,2734974;0,006327856
0,2843599;0,008080011
0,2954598;0,01064903
0,3065559;0,01305145
0,3176845;0,01711694
0,3287818;0,02176404
0,3398835;0,0259854
0,3510301;0,03162511
0,3623575;0,03690867
0,3733794;0,04317599
0,3850616;0,05034015
0,3962716;0,05668799
0,4073705;0,06357831
0,4187521;0,07050408
0,4298335;0,07696388
0,4411629;0,08318531
0,4524163;0,08919586
0,4636882;0,09448331
0,4747942;0,1001307
0,4862679;0,1062175
0,4974736;0,112903
0,5086958;0,1195111
0,5200675;0,1263514
0,5314135;0,1324157
0,5427381;0,1377962
0,5539512;0,1427074
0,565472;0,1472336
0,57664;0,1517587
0,5885142;0,1563085
0,5993145;0,1605838
0,6105055;0,1651117
0,6218001;0,1694179
0,6328552;0,1730421
0,644067;0,1764584
0,6552948;0,1790377
0,6663024;0,1816054
0,6773703;0,1844334
0,6885286;0,1872545
0,6996648;0,1898028
0,7108335;0,1914871
0,7219901;0,192898
0,7330069;0,1944068
0,7441227;0,1956539
0,7553035;0,196998
0,7664282;0,1978337
0,7776062;0,1984092
0,788654;0,1987211
0,7998052;0,1990755
0,8106757;0,1982989
0,8218329;0,1975351
0,8329458;0,196073
0,843828;0,1947802
0,8549804;0,1936866
0,865957;0,1949034
0,8769826;0,196093
0,8881747;0,1946061
0,8992168;0,1932229
0,9103884;0,1919734
0,9215196;0,1908488
0,9328043;0,1895585
0,9439908;0,1882678
0,9550427;0,1869943
0,9662953;0,1862228
0,977433;0,185369
0,9888803;0,1846176
0,9998443;0,1839547
1,011028;0,1833278
1,022232;0,1826195
1,033027;0,1823133
1,044069;0,1819424
1,055058;0,1815799
1,066059;0,1810563
1,077261;0,1804492
1,088315;0,1799611
1,09944;0,1797063
1,110343;0,1798963
1,121692;0,1793817
1,132677;0,1796895
1,14376;0,1799632
1,154828;0,1802027
1,166757;0,1803954
1,177116;0,1806347
1,188307;0,1809052
1,199312;0,1812007
1,210654;0,1816685
1,221544;0,1821858
1,232612;0,1828021
1,243763;0,1833359
1,255058;0,1837464
1,266257;0,18396
1,277305;0,1842896
1,288504;0,184699
1,299571;0,1850223
1,310615;0,1854842
1,321979;0,1859576
1,33276;0,1862982
1,343874;0,1866366
1,35479;0,1870843
1,365955;0,187304
1,377631;0,1875848
1,388239;0,187231
1,398903;0,1874898
1,410117;0,1872059
1,42121;0,1873718
1,432235;0,1872323
1,443394;0,1873952
1,454629;0,1875309
1,465776;0,1878556
1,477108;0,1879944
1,488233;0,1880846
1,499445;0,1877495
1,510633;0,1876092
1,521679;0,1874044
1,53262;0,1871793
1,54386;0,1869422
1,554826;0,1870109
1,565973;0,1871967
1,577004;0,1873993
1,58806;0,1874295
1,599268;0,1876474
1,610203;0,1875442
1,621421;0,1873607
1,632398;0,187458
1,643593;0,1875542
1,654729;0,1874517
1,665865;0,1874072
1,677099;0,1874802
1,68857;0,1877283
1,699527;0,1877917
1,710571;0,1876818
1,721807;0,187872
1,732842;0,1879955
1,743687;0,1883187
1,754983;0,188484
1,765966;0,1888952
1,77701;0,1887417
1,788351;0,1889855
1,799252;0,1889346
1,810481;0,1891676
1,821612;0,1894301
1,83264;0,1896192
1,843876;0,1896871
1,854775;0,1898118
1,865964;0,1897322
1,876963;0,1898185
1,887992;0,1902321
1,898986;0,1903041
1,910043;0,1905313
1,92117;0,1906592
1,932162;0,1907877
1,943296;0,1909934
1,954434;0,1911524
1,965669;0,190944
1,976801;0,1908007
1,98807;0,190882
1,999204;0,1909973
2,010347;0,1910783
2,021327;0,1912121
2,032509;0,1913262
2,043391;0,1912018
2,054685;0,1912616
2,065417;0,1914269
2,076446;0,191608
2,087543;0,1918075
2,09871;0,1918996
2,109729;0,1917686
2,120814;0,1918921
2,131822;0,1918327
2,142986;0,1916087
2,154156;0,1916877
2,165228;0,1915262
2,176534;0,1913906
2,188058;0,1912768
2,198795;0,1911236
2,20998;0,1912302
2,221171;0,1913136
2,232247;0,1914125
2,243372;0,1915232
2,254466;0,1913254
2,26545;0,1912376
2,276371;0,1911164
2,287416;0,1909841
2,298623;0,1912633
2,30955;0,191469
2,320756;0,191723
2,331964;0,1919383
2,343248;0,1920547
2,354393;0,192099
2,365472;0,1919419
2,376678;0,1920724
2,387928;0,1921123
2,398989;0,1920398
2,410305;0,1921984
2,421225;0,1923649
2,432311;0,1924842
2,443483;0,1926321
2,454596;0,1928084
2,465662;0,192498
2,476801;0,192612
2,488128;0,1925488
2,499683;0,1926877
2,510146;0,1925294
2,521229;0,1927172
2,532058;0,1929141
2,543046;0,1928116
2,554172;0,1927375
2,565259;0,1930779
2,57619;0,1931427
2,587372;0,193261
2,598532;0,1934328
2,60985;0,1935637
2,620999;0,193694
2,632128;0,1935218
2,643136;0,1937144
2,654318;0,1934796
2,665417;0,1936358
2,676559;0,1935461
2,687684;0,1936783
2,698942;0,1934037
2,709908;0,1934233
2,721114;0,1932801
2,732316;0,1932296
2,743738;0,1931424
2,754452;0,1929838
2,765428;0,192711
2,776582;0,192823
2,787537;0,1929862
2,798655;0,1931232
2,809577;0,1932369
2,820936;0,1929526
2,831987;0,1927465
2,842786;0,1929515
2,854018;0,1927619
2,865038;0,1930262
2,876403;0,1932583
2,887373;0,1934191
2,898561;0,1936806
2,909662;0,1938422
2,920809;0,1940375
2,932101;0,1940994
2,943056;0,1944644
2,954096;0,1946521
2,965327;0,1947797
