time;velocity
0;4,68E-07
0,0290228;-4,99E-06
0,0399428;1,27E-06
0,0512778;-2,64E-06
0,0624393;3,84E-06
0,0735219;2,25E-06
0,0841261;-2,08E-06
0,0952316;1,92E-06
0,1062332;5,70E-07
0,1173268;6,23E-06
0,1284911;8,15E-07
0,1394626;1,20E-06
0,1504706;-4,45E-06
0,1622539;-4,08E-07
0,1725944;1,78E-06
0,1837697;2,04E-06
0,1950111;7,22E-07
0,2060338;1,61E-06
0,2172437;4,93E-06
0,2284635;5,81E-06
0,239818;7,06E-06
0,2506978;8,93E-06
0,2620583;9,34E-06
0,2734974;1,50E-05
0,2843599;1,75E-05
0,2954598;2,57E-05
0,3065559;2,40E-05
0,3176845;4,07E-05
0,3287818;4,65E-05
0,3398835;4,22E-05
0,3510301;5,64E-05
0,3623575;5,28E-05
0,3733794;6,27E-05
0,3850616;7,16E-05
0,3962716;6,35E-05
0,4073705;6,89E-05
0,4187521;6,93E-05
0,4298335;6,46E-05
0,4411629;6,22E-05
0,4524163;6,01E-05
0,4636882;5,29E-05
0,4747942;5,65E-05
0,4862679;6,09E-05
0,4974736;6,69E-05
0,5086958;6,61E-05
0,5200675;6,84E-05
0,5314135;6,06E-05
0,5427381;5,38E-05
0,5539512;4,91E-05
0,565472;4,53E-05
0,57664;4,53E-05
0,5885142;4,55E-05
0,5993145;4,28E-05
0,6105055;4,53E-05
0,6218001;4,31E-05
0,6328552;3,62E-05
0,644067;3,42E-05
0,6552948;2,58E-05
0,6663024;2,57E-05
0,6773703;2,83E-05
0,6885286;2,82E-05
0,6996648;2,55E-05
0,7108335;1,68E-05
0,7219901;1,41E-05
0,7330069;1,51E-05
0,7441227;1,25E-05
0,7553035;1,34E-05
0,7664282;8,36E-06
0,7776062;5,76E-06
0,788654;3,12E-06
0,7998052;3,54E-06
0,8106757;-7,77E-06
0,8218329;-7,64E-06
0,8329458;-1,46E-05
0,843828;-1,29E-05
0,8549804;-1,09E-05
0,865957;1,22E-05
0,8769826;1,19E-05
0,8881747;-1,49E-05
0,8992168;-1,38E-05
0,9103884;-1,25E-05
0,9215196;-1,12E-05
0,9328043;-1,29E-05
0,9439908;-1,29E-05
0,9550427;-1,27E-05
0,9662953;-7,71E-06
0,977433;-8,54E-06
0,9888803;-7,51E-06
0,9998443;-6,63E-06
1,011028;-6,27E-06
1,022232;-7,08E-06
1,033027;-3,06E-06
1,044069;-3,71E-06
1,055058;-3,63E-06
1,066059;-5,24E-06
1,077261;-6,07E-06
1,088315;-4,88E-06
1,09944;-2,55E-06
1,110343;1,90E-06
1,121692;-5,15E-06
1,132677;3,08E-06
1,14376;2,74E-06
1,154828;2,40E-06
1,166757;1,93E-06
1,177116;2,39E-06
1,188307;2,71E-06
1,199312;2,95E-06
1,210654;4,68E-06
1,221544;5,17E-06
1,232612;6,16E-06
1,243763;5,34E-06
1,255058;4,10E-06
1,266257;2,14E-06
1,277305;3,30E-06
1,288504;4,09E-06
1,299571;3,23E-06
1,310615;4,62E-06
1,321979;4,73E-06
1,33276;3,41E-06
1,343874;3,38E-06
1,35479;4,48E-06
1,365955;2,20E-06
1,377631;2,81E-06
1,388239;-3,54E-06
1,398903;2,59E-06
1,410117;-2,84E-06
1,42121;1,66E-06
1,432235;-1,39E-06
1,443394;1,63E-06
1,454629;1,36E-06
1,465776;3,25E-06
1,477108;1,39E-06
1,488233;9,02E-07
1,499445;-3,35E-06
1,510633;-1,40E-06
1,521679;-2,05E-06
1,53262;-2,25E-06
1,54386;-2,37E-06
1,554826;6,87E-07
1,565973;1,86E-06
1,577004;2,03E-06
1,58806;3,02E-07
1,599268;2,18E-06
1,610203;-1,03E-06
1,621421;-1,84E-06
1,632398;9,73E-07
1,643593;9,62E-07
1,654729;-1,03E-06
1,665865;-4,45E-07
1,677099;7,30E-07
1,68857;2,48E-06
1,699527;6,34E-07
1,710571;-1,10E-06
1,721807;1,90E-06
1,732842;1,24E-06
1,743687;3,23E-06
1,754983;1,65E-06
1,765966;4,11E-06
1,77701;-1,54E-06
1,788351;2,44E-06
1,799252;-5,09E-07
1,810481;2,33E-06
1,821612;2,62E-06
1,83264;1,89E-06
1,843876;6,79E-07
1,854775;1,25E-06
1,865964;-7,96E-07
1,876963;8,63E-07
1,887992;4,14E-06
1,898986;7,20E-07
1,910043;2,27E-06
1,92117;1,28E-06
1,932162;1,28E-06
1,943296;2,06E-06
1,954434;1,59E-06
1,965669;-2,08E-06
1,976801;-1,43E-06
1,98807;8,13E-07
1,999204;1,15E-06
2,010347;8,10E-07
2,021327;1,34E-06
2,032509;1,14E-06
2,043391;-1,24E-06
2,054685;5,99E-07
2,065417;1,65E-06
2,076446;1,81E-06
2,087543;1,99E-06
2,09871;9,21E-07
2,109729;-1,31E-06
2,120814;1,23E-06
2,131822;-5,94E-07
2,142986;-2,24E-06
2,154156;7,89E-07
2,165228;-1,61E-06
2,176534;-1,36E-06
2,188058;-1,14E-06
2,198795;-1,53E-06
2,20998;1,07E-06
2,221171;8,34E-07
2,232247;9,89E-07
2,243372;1,11E-06
2,254466;-1,98E-06
2,26545;-8,78E-07
2,276371;-1,21E-06
2,287416;-1,32E-06
2,298623;2,79E-06
2,30955;2,06E-06
2,320756;2,54E-06
2,331964;2,15E-06
2,343248;1,16E-06
2,354393;4,44E-07
2,365472;-1,57E-06
2,376678;1,30E-06
2,387928;3,99E-07
2,398989;-7,25E-07
2,410305;1,59E-06
2,421225;1,67E-06
2,432311;1,19E-06
2,443483;1,48E-06
2,454596;1,76E-06
2,465662;-3,10E-06
2,476801;1,14E-06
2,488128;-6,32E-07
2,499683;1,39E-06
2,510146;-1,58E-06
2,521229;1,88E-06
2,532058;1,97E-06
2,543046;-1,03E-06
