time;distance to prev position;controller position;camera position;distance to prev target;distance to current target
(0.0000, 3.5355, 3.5355);(0.6529, 1.9462, 4.5592)

0;0,0006825303;(-0.0424, 1.3781, -0.7676);(0.0264, 1.4832, -1.2882);1,5782;4,8138
0;0,0006825303;(-0.0424, 1.3781, -0.7676);(0.0264, 1.4832, -1.2882);4,8138;4,8138
0;0,0006825303;(-0.0424, 1.3781, -0.7676);(0.0264, 1.4832, -1.2882);4,8138;4,8138
0,0356799;0,0008018288;(-0.0423, 1.3780, -0.7676);(0.0262, 1.4831, -1.2882);4,8138;4,8139
0,0356799;0,0008018288;(-0.0423, 1.3780, -0.7676);(0.0262, 1.4831, -1.2882);4,8139;4,8139
0,0565372;0,0006766495;(-0.0423, 1.3780, -0.7675);(0.0259, 1.4831, -1.2880);4,8139;4,8138
0,06668019;0,0007480739;(-0.0423, 1.3779, -0.7675);(0.0258, 1.4831, -1.2879);4,8138;4,8139
0,07788839;0,0005108179;(-0.0424, 1.3779, -0.7673);(0.0257, 1.4831, -1.2878);4,8139;4,8137
0,08893209;0,0002207305;(-0.0427, 1.3778, -0.7672);(0.0256, 1.4830, -1.2877);4,8137;4,8136
0,1001769;-0,000353269;(-0.0431, 1.3777, -0.7669);(0.0255, 1.4829, -1.2876);4,8136;4,8134
0,1110851;-0,0006753401;(-0.0434, 1.3777, -0.7668);(0.0254, 1.4829, -1.2876);4,8134;4,8133
0,1219814;-0,0009815751;(-0.0437, 1.3777, -0.7666);(0.0254, 1.4829, -1.2875);4,8133;4,8132
0,1329349;-0,001168157;(-0.0439, 1.3778, -0.7665);(0.0254, 1.4829, -1.2874);4,8132;4,8131
0,1438118;-0,001348122;(-0.0440, 1.3778, -0.7665);(0.0253, 1.4829, -1.2874);4,8131;4,8130
0,1548313;-0,001533999;(-0.0442, 1.3778, -0.7664);(0.0253, 1.4829, -1.2873);4,8130;4,8130
0,1668591;-0,001787411;(-0.0444, 1.3777, -0.7663);(0.0253, 1.4829, -1.2873);4,8130;4,8129
0,1771872;-0,00149286;(-0.0445, 1.3774, -0.7663);(0.0253, 1.4828, -1.2873);4,8129;4,8130
0,1882915;-0,001147141;(-0.0447, 1.3771, -0.7662);(0.0253, 1.4828, -1.2873);4,8130;4,8131
0,2045465;-0,0006653045;(-0.0448, 1.3767, -0.7661);(0.0254, 1.4828, -1.2872);4,8131;4,8132
0,2107133;-4,198804E-05;(-0.0448, 1.3761, -0.7661);(0.0253, 1.4827, -1.2873);4,8132;4,8134
0,2217231;0,0005613919;(-0.0448, 1.3755, -0.7660);(0.0252, 1.4826, -1.2871);4,8134;4,8136
0,2328297;0,001455438;(-0.0445, 1.3746, -0.7659);(0.0252, 1.4825, -1.2871);4,8136;4,8139
0,2441231;0,002736619;(-0.0440, 1.3735, -0.7658);(0.0252, 1.4824, -1.2871);4,8139;4,8143
0,2555245;0,004254456;(-0.0433, 1.3721, -0.7656);(0.0253, 1.4823, -1.2871);4,8143;4,8148
0,2665111;0,005895576;(-0.0428, 1.3706, -0.7654);(0.0253, 1.4822, -1.2871);4,8148;4,8153
0,2776043;0,008962203;(-0.0417, 1.3677, -0.7650);(0.0255, 1.4821, -1.2870);4,8153;4,8162
0,2886502;0,0121739;(-0.0407, 1.3647, -0.7646);(0.0256, 1.4819, -1.2870);4,8162;4,8172
0,2999604;0,01562384;(-0.0396, 1.3614, -0.7642);(0.0257, 1.4818, -1.2870);4,8172;4,8183
0,3109126;0,02027773;(-0.0382, 1.3571, -0.7635);(0.0258, 1.4816, -1.2870);4,8183;4,8196
0,3218826;0,02487922;(-0.0366, 1.3528, -0.7631);(0.0260, 1.4815, -1.2871);4,8196;4,8212
0,3330122;0,03040038;(-0.0343, 1.3478, -0.7628);(0.0261, 1.4813, -1.2871);4,8212;4,8232
0,3442277;0,03655142;(-0.0319, 1.3421, -0.7623);(0.0262, 1.4811, -1.2871);4,8232;4,8253
0,3612039;0,04275983;(-0.0292, 1.3365, -0.7618);(0.0264, 1.4809, -1.2870);4,8253;4,8274
0,3662038;0,04927147;(-0.0266, 1.3306, -0.7614);(0.0265, 1.4806, -1.2872);4,8274;4,8297
0,3775891;0,05593146;(-0.0241, 1.3244, -0.7609);(0.0266, 1.4804, -1.2872);4,8297;4,8321
0,38855;0,06212316;(-0.0216, 1.3188, -0.7606);(0.0267, 1.4801, -1.2872);4,8321;4,8343
0,3997023;0,0685752;(-0.0192, 1.3128, -0.7602);(0.0268, 1.4800, -1.2873);4,8343;4,8367
0,4109761;0,07501901;(-0.0169, 1.3068, -0.7600);(0.0269, 1.4798, -1.2873);4,8367;4,8393
0,4224751;0,08102467;(-0.0149, 1.3011, -0.7598);(0.0270, 1.4797, -1.2874);4,8393;4,8417
0,4331956;0,08739782;(-0.0125, 1.2952, -0.7597);(0.0271, 1.4797, -1.2874);4,8417;4,8444
0,4443741;0,09318871;(-0.0103, 1.2899, -0.7595);(0.0272, 1.4796, -1.2876);4,8444;4,8467
0,4554959;0,09905531;(-0.0079, 1.2845, -0.7594);(0.0273, 1.4796, -1.2876);4,8467;4,8491
0,4663093;0,1048992;(-0.0056, 1.2792, -0.7592);(0.0273, 1.4795, -1.2876);4,8491;4,8514
0,4772181;0,1102931;(-0.0035, 1.2742, -0.7590);(0.0274, 1.4795, -1.2875);4,8514;4,8535
0,4882983;0,1160442;(-0.0014, 1.2689, -0.7587);(0.0275, 1.4794, -1.2875);4,8535;4,8558
0,4995072;0,1208964;(0.0005, 1.2644, -0.7588);(0.0275, 1.4794, -1.2875);4,8558;4,8579
0,5157327;0,1255464;(0.0021, 1.2600, -0.7587);(0.0276, 1.4794, -1.2875);4,8579;4,8599
0,5214041;0,1299815;(0.0036, 1.2559, -0.7587);(0.0276, 1.4794, -1.2875);4,8599;4,8618
0,5323646;0,1342368;(0.0057, 1.2523, -0.7595);(0.0277, 1.4794, -1.2875);4,8618;4,8642
