time;velocity
0;0
0;0
0,0356799;1,192985E-06
0,0356799;0
0,0565372;-1,251793E-06
0,06668019;7,142441E-07
0,07788839;-2,372561E-06
0,08893209;-2,900874E-06
0,1001769;-5,739995E-06
0,1110851;-3,22071E-06
0,1219814;-3,062351E-06
0,1329349;-1,865823E-06
0,1438118;-1,79965E-06
0,1548313;-1,858767E-06
0,1668591;-2,534118E-06
0,1771872;2,945508E-06
0,1882915;3,457194E-06
0,2045465;4,818364E-06
0,2107133;6,233165E-06
0,2217231;6,033799E-06
0,2328297;8,940466E-06
0,2441231;1,281181E-05
0,2555245;1,517836E-05
0,2665111;1,64112E-05
0,2776043;3,066627E-05
0,2886502;3,211699E-05
0,2999604;3,44994E-05
0,3109126;4,65389E-05
0,3218826;4,60149E-05
0,3330122;5,521156E-05
0,3442277;6,151047E-05
0,3612039;6,208405E-05
0,3662038;6,511644E-05
0,3775891;6,659992E-05
0,38855;6,191697E-05
0,3997023;6,452035E-05
0,4109761;6,443814E-05
0,4224751;6,00566E-05
0,4331956;6,373152E-05
0,4443741;5,790889E-05
0,4554959;5,866602E-05
0,4663093;5,843848E-05
0,4772181;5,393893E-05
0,4882983;5,751125E-05
0,4995072;4,852198E-05
0,5157327;4,650004E-05
0,5214041;4,435137E-05
0,5323646;4,255235E-05
0,5432312;4,19341E-05
0,5543713;3,678217E-05
0,565606;4,210189E-05
0,5765801;3,706694E-05
0,5878053;2,72359E-05
0,5989642;2,774432E-05
0,6099727;2,765849E-05
0,6213682;1,873106E-05
0,6324227;2,241522E-05
0,6435333;1,397982E-05
0,6550974;1,901269E-05
0,6714163;1,099586E-05
0,6777076;7,193089E-06
0,6885985;1,782566E-05
0,6995407;-7,105172E-06
0,7106853;7,861257E-06
0,7219176;1,692593E-05
0,7328908;5,616546E-06
0,7440091;2,489388E-06
0,7554529;-4,088432E-06
0,7661426;-5,717129E-06
0,7770268;-7,959902E-06
0,7881078;-7,903576E-06
0,7992139;-7,950365E-06
0,8104218;-6,481707E-06
0,8264526;-7,230788E-06
0,8322864;-8,063764E-06
0,8433329;-5,94601E-06
0,8544074;-4,488081E-06
0,8655421;-1,0048E-05
0,8763545;-8,589178E-06
0,8877603;-1,005635E-05
0,8985536;-7,824451E-06
0,9098485;-8,658618E-06
0,920863;-7,804334E-06
0,9317586;-1,114175E-05
0,942755;-5,247742E-06
0,9538198;-3,726781E-06
0,9650812;-1,756698E-06
0,9825419;-7,130205E-07
0,9872635;6,813556E-06
0,9982758;-1,053065E-06
1,009589;8,374602E-06
1,020676;7,330924E-06
1,031593;-2,976358E-06
1,042623;-1,32814E-06
1,053924;1,988262E-06
1,064987;-1,510084E-06
1,075841;1,825243E-06
1,087022;2,907217E-06
1,098084;1,069009E-06
1,109326;3,130734E-06
1,120703;2,215505E-06
1,138379;3,528446E-06
1,142639;2,201498E-06
1,154017;4,301071E-06
1,165289;4,403442E-06
1,176111;2,187491E-06
