time;acceleration
0,0120613;-1,44E-08
0,0233489;8,24E-09
0,0233489;-9,90E-09
0,0566225;-1,13E-08
0,06744879;3,79E-08
0,07848159;-2,81E-08
0,0895941;1,65E-08
0,1010278;-2,62E-08
0,1120502;3,84E-08
0,1231383;-3,81E-08
0,1342214;3,06E-08
0,1453732;-1,28E-08
0,156434;-2,20E-08
0,1674622;3,47E-08
0,1786428;-2,63E-08
0,1892995;-1,02E-08
0,2005573;2,39E-08
0,2117551;2,22E-09
0,2227196;-2,95E-09
0,2336427;2,94E-08
0,2447954;-1,02E-08
0,2556995;8,24E-10
0,2668863;4,79E-08
0,2779369;1,24E-09
0,2892507;6,83E-08
0,3000967;7,64E-08
0,3112372;2,78E-11
0,3224909;8,44E-08
0,3337769;-8,09E-10
0,3448515;3,39E-08
0,3565709;4,74E-09
0,3565709;-3,46E-08
0,3791241;2,13E-08
0,3903325;-1,09E-08
0,4015961;2,29E-08
0,4130746;4,57E-08
0,4243585;4,15E-08
0,4356091;-1,84E-08
0,4470538;9,81E-08
0,4582778;-1,43E-08
0,4697493;-4,13E-09
0,4810871;-4,94E-08
0,4922042;5,58E-10
0,50344;-2,94E-08
0,5144964;2,01E-09
0,5258164;3,73E-08
0,5368465;2,35E-08
0,5481525;2,79E-08
0,5593271;2,03E-08
0,5708118;-3,69E-08
0,5818326;4,45E-09
0,5929659;-6,37E-09
0,6037064;-4,62E-08
0,6149515;-3,07E-08
0,6262616;-3,14E-08
0,6370163;1,32E-08
0,6483758;-3,95E-08
0,6593773;3,63E-08
0,6703323;-2,60E-08
0,6817395;3,45E-09
0,6927694;-3,98E-08
0,7038315;-2,56E-09
0,7150971;-3,03E-08
0,7264324;7,24E-09
0,7375727;-5,75E-08
0,7486256;-1,20E-08
0,7600224;-1,48E-08
0,7709611;-4,82E-09
0,7824116;5,08E-10
0,7932996;-2,93E-08
0,8045537;-6,53E-09
0,8156006;2,76E-08
0,8268011;-3,68E-09
0,8378065;-1,83E-08
0,8488303;5,36E-09
0,8599081;-4,47E-08
0,8709563;-2,67E-08
0,8820363;-2,13E-08
0,8932509;3,35E-08
0,9043145;-1,87E-08
0,9150322;9,12E-09
0,9261898;1,97E-08
0,9370715;-1,52E-08
0,948273;-4,12E-09
0,9591223;-1,91E-08
0,9703514;-3,90E-08
0,9813287;-6,57E-09
0,992395;-7,30E-09
1,003038;-1,71E-09
1,013976;1,64E-10
1,024886;-1,89E-08
1,035972;4,49E-09
1,047127;5,57E-08
1,058566;-2,52E-08
1,069525;-6,78E-09
1,080624;-1,14E-08
1,091672;-4,43E-08
1,102836;9,72E-10
1,114117;-3,12E-09
1,125289;2,83E-08
1,1362;-1,15E-08
1,147189;-6,69E-09
1,158373;-2,29E-09
1,169415;4,77E-09
1,180286;9,10E-09
1,191632;4,06E-08
1,202739;-2,59E-08
1,213757;-1,74E-08
1,225093;1,98E-08
1,236013;-3,08E-08
1,247214;-2,15E-08
1,258396;2,28E-09
1,269499;4,98E-08
1,280808;-2,73E-08
1,291849;3,74E-08
1,302946;-2,23E-08
1,313949;6,19E-09
1,324981;1,85E-08
1,335988;-5,17E-08
1,347123;-4,96E-09
1,358258;4,87E-09
1,369435;4,50E-10
1,380435;2,74E-08
1,391825;-2,85E-08
1,402606;-1,25E-08
1,413935;1,70E-08
1,425058;2,94E-08
1,435735;-3,02E-08
1,446795;3,33E-08
1,458052;-1,76E-08
1,469209;1,84E-09
1,480319;4,92E-09
1,492101;8,61E-09
1,502884;-2,28E-08
1,513713;-1,95E-08
1,524936;1,52E-08
1,536263;4,54E-09
1,547771;1,07E-08
1,559434;9,55E-10
1,56962;-1,09E-08
1,581111;-5,36E-09
1,59166;-4,03E-09
1,602924;-1,04E-08
1,614049;1,64E-08
1,625332;6,00E-09
1,636283;-5,76E-09
1,64722;4,22E-09
1,658404;-1,85E-08
1,669253;2,77E-08
1,68032;-3,03E-08
1,691413;-6,85E-09
1,702532;1,21E-08
1,713584;9,02E-09
1,724562;-1,23E-08
1,736004;-2,49E-09
1,746616;2,52E-08
1,757887;-2,17E-08
1,768851;1,65E-09
1,780049;1,31E-08
1,791306;-4,04E-09
1,802594;-2,04E-09
1,813771;1,77E-08
1,824986;3,05E-08
1,836097;-5,62E-08
1,847226;1,35E-08
1,858231;-9,92E-09
1,869321;9,45E-09
1,880354;3,34E-08
1,891668;-3,39E-08
1,902486;-3,39E-09
1,913679;-6,85E-11
1,924754;-1,13E-08
1,935722;1,06E-08
1,946867;7,42E-09
1,958158;-1,53E-08
1,969179;-7,18E-09
1,980287;1,80E-08
1,991148;3,89E-09
2,002349;-1,19E-08
2,013334;7,66E-09
2,024491;3,76E-08
2,035468;-3,43E-08
2,046615;1,20E-08
2,057683;8,82E-10
2,068832;4,47E-11
2,079803;-2,82E-08
2,090841;-1,06E-08
2,101809;1,43E-08
2,112995;2,30E-08
2,123903;-2,08E-08
2,135097;4,37E-09
2,146437;3,81E-10
2,157451;-5,13E-09
2,168672;7,05E-09
2,180005;8,70E-10
2,191216;-7,68E-09
2,202501;-9,93E-09
2,213588;1,69E-08
2,224712;-7,02E-09
2,235828;-6,82E-09
2,246824;2,52E-09
2,257918;-2,98E-10
2,269029;2,02E-08
2,280213;-1,43E-08
2,291402;5,33E-09
2,30267;-1,02E-08
2,313596;2,66E-08
2,325331;-9,05E-09
2,335965;-1,74E-08
2,347068;-6,12E-09
2,358103;9,41E-09
2,369233;-9,30E-09
2,380063;1,91E-08
2,391278;-1,25E-08
2,402361;4,42E-09
2,413188;4,82E-09
2,424376;-1,84E-09
2,435379;1,21E-08
2,446327;-2,39E-08
2,457421;-8,05E-09
2,468528;1,84E-08
2,480024;1,12E-08
2,490705;-1,82E-08
2,502164;1,93E-09
2,513037;1,47E-08
2,524057;-6,14E-09
2,535262;-2,79E-09
2,546595;2,51E-08
2,558167;-3,44E-08
2,568922;2,19E-08
2,580166;1,68E-09
2,591192;6,23E-09
2,602247;-2,11E-08
2,613046;-8,20E-09
2,624258;1,13E-08
2,63517;1,28E-09
2,646112;2,75E-09
2,657327;-9,69E-10
2,668635;-3,48E-09
2,679627;-1,45E-09
2,690853;2,92E-10
2,702021;-1,29E-08
2,713164;-4,11E-09
2,72432;1,32E-08
2,735437;3,20E-09
2,747067;-2,07E-08
2,757719;3,20E-08
2,768843;-3,10E-09
2,779743;-2,24E-09
2,791028;-2,09E-08
2,802225;-4,02E-10
2,81339;8,76E-09
2,824954;1,39E-08
2,835701;8,29E-10
2,846686;-2,07E-08
2,858076;1,23E-08
2,86892;1,53E-08
2,879888;-2,35E-08
2,890912;2,74E-08
2,902078;-3,13E-08
2,913007;1,28E-09
2,923925;1,72E-08
2,935796;-2,60E-08
2,946436;2,72E-08
2,957259;-1,86E-08
2,968606;2,49E-08
2,979543;-2,64E-08
2,990514;8,65E-09
3,001701;-1,17E-08
3,013011;3,76E-08
3,024118;-2,28E-08
3,034963;-6,98E-09
3,046416;-4,53E-09
3,057375;8,39E-09
3,068505;-2,56E-10
3,079916;-5,70E-09
3,091179;-1,25E-10
3,102342;1,78E-08
3,113194;5,75E-09
3,124246;-2,02E-08
3,135343;-5,18E-09
3,146459;2,28E-09
3,158186;1,54E-09
3,169148;1,82E-08
3,179833;-5,67E-09
3,191139;-4,32E-09
3,202143;-3,10E-09
3,213357;-1,20E-08
3,224346;9,02E-09
3,235558;-1,18E-09
3,246539;2,29E-08
3,257583;-2,67E-08
3,268595;2,07E-08
3,279568;-7,62E-09
3,290642;-2,43E-09
3,301551;-1,06E-08
3,312949;4,67E-09
3,323911;7,32E-09
3,335045;-7,36E-09
3,346203;3,45E-08
3,357341;-4,33E-08
3,368765;2,72E-08
3,380013;-2,44E-08
3,390866;1,22E-08
3,401931;-9,86E-09
3,413136;-2,64E-09
