time;distance;;f';;f''
0;0,00020162;;;;
0;0,000646657;0,00603065;0,024960294;0,011867875;0,771744302
0,0120613;0,00094771;0,0177051;0,033969985;0,00885255;1,918655346
0,0233489;0,00133115;;;0,01999285;0,128780231
0,0233489;0,001615637;0,0399857;0,005149368;0,051010673;2,072182135
0,0566225;0,001786975;0,062035645;0,05084087;0,067500418;-2,414892473
0,06744879;0,002337393;0,07296519;0,024447194;0,078501518;1,322275007
0,07848159;0,002607114;0,084037845;0,039088289;0,089674398;-2,129860638
0,0895941;0,003041483;0,09531095;0,015078146;0,100924975;3,149131043
0,1010278;0,003213882;0,106539;0,050436747;0,112066625;-3,138157158
0,1120502;0,003769816;0,11759425;0,015743635;0,12313705;2,494894182
0,1231383;0,003944383;0,12867985;0,043401034;0,134238575;-1,05930067
0,1342214;0,004425401;0,1397973;0,031624312;0,14535045;-1,765793962
0,1453732;0,004778069;0,1509036;0,012012874;0,15642585;2,850713445
0,156434;0,004910941;0,1619481;0,043497579;0,1675003;-2,174858218
0,1674622;0,005390641;0,1730525;0,019347083;0,178511825;-0,789993201
0,1786428;0,005606953;0,18397115;0,010721424;0,189449775;1,882649577
0,1892995;0,005721208;0,1949284;0,031350086;0,2005423;0,191288032
0,2005573;0,006074141;0,2061562;0,03349783;0,211696775;-0,178371083
0,2117551;0,006449243;0,21723735;0,031521273;0,22270925;2,467570967
0,2227196;0,006794858;0,22818115;0,058525876;0,2337001;-0,940400456
0,2336427;0,007434142;0,23921905;0,04814583;0,24473325;0,168076928
0,2447954;0,007971098;0,25024745;0,04999945;0,255770175;3,760804227
0,2556995;0,008516297;0,2612929;0,091539225;0,26685225;0,202400791
0,2668863;0,009540328;0,2724116;0,093789658;0,2780027;5,201138658
0,2779369;0,01057676;0,2835938;0,151949831;0,28913375;6,946942672
0,2892507;0,01229589;0,2946737;0,228921261;0,300170325;-0,548110934
0,3000967;0,01477877;0,30566695;0,222895741;0,3112655;6,496039756
0,3112372;0,01726194;0,31686405;0,295632548;0,322498975;-0,138758703
0,3224909;0,0205889;0,3281339;0,294068758;0,33372405;3,238448684
0,3337769;0,02390776;0,3393142;0,330275586;0,3450127;-1,239924048
0,3448515;0,02756543;0,3507112;0,316144171;0,1753556;0,90143734
0,3565709;0,03127045;;;0,18392375;0,430528024
0,3565709;0,03462964;0,3678475;0,158368657;0,3762879;8,918395695
0,3791241;0,03820136;0,3847283;0,308918311;0,3903463;1,67155002
0,3903325;0,04166384;0,3959643;0,327699847;0,401649825;2,958394258
0,4015961;0,04535492;0,40733535;0,361339896;0,41302595;3,780255435
0,4130746;0,04950256;0,41871655;0,404363739;0,424350175;-1,347982079
0,4243585;0,05406536;0,4299838;0,389175688;0,435657625;6,973649504
0,4356091;0,05844382;0,44133145;0,468310222;0,446998625;-0,315398214
0,4470538;0,06380349;0,4526658;0,464735388;0,458339675;-1,200623401
0,4582778;0,06901968;0,46401355;0,451111014;0,469715875;-3,353397126
0,4697493;0,0741946;0,4754182;0,412866694;0,481031925;0,7747336
0,4810871;0,0788756;0,48664565;0,421564976;0,492233875;-2,741358096
0,4922042;0,08356218;0,4978221;0,390926325;0,50339515;0,731948237
0,50344;0,08795455;0,5089682;0,399084693;0,5145623;2,117097333
0,5144964;0,09236699;0,5201564;0,422771201;0,525743925;2,897337427
0,5258164;0,09715276;0,53133145;0,455149092;0,536915475;1,218731868
0,5368465;0,1021731;0,5424995;0,46875995;0,54811965;2,103365759
0,5481525;0,1074729;0,5537398;0,492402413;0,559404625;-4,01324542
0,5593271;0,1129753;0,56506945;0,446933747;0,570695825;2,030673482
0,5708118;0,1181082;0,5763222;0,469784408;0,581860725;-0,94426577
0,5818326;0,1232856;0,58739925;0,459324729;0,5928677;-2,393654327
0,5929659;0,1283994;0,59833615;0,433145571;0,60383255;-4,251625448
