time;velocity
0;4,45E-06
0,0120613;3,01E-06
0,0233489;3,83E-06
0,0233489;2,84E-06
0,0566225;1,71E-06
0,06744879;5,50E-06
0,07848159;2,70E-06
0,0895941;4,34E-06
0,1010278;1,72E-06
0,1120502;5,56E-06
0,1231383;1,75E-06
0,1342214;4,81E-06
0,1453732;3,53E-06
0,156434;1,33E-06
0,1674622;4,80E-06
0,1786428;2,16E-06
0,1892995;1,14E-06
0,2005573;3,53E-06
0,2117551;3,75E-06
0,2227196;3,46E-06
0,2336427;6,39E-06
0,2447954;5,37E-06
0,2556995;5,45E-06
0,2668863;1,02E-05
0,2779369;1,04E-05
0,2892507;1,72E-05
0,3000967;2,48E-05
0,3112372;2,48E-05
0,3224909;3,33E-05
0,3337769;3,32E-05
0,3448515;3,66E-05
0,3565709;3,71E-05
0,3565709;3,36E-05
0,3791241;3,57E-05
0,3903325;3,46E-05
0,4015961;3,69E-05
0,4130746;4,15E-05
0,4243585;4,56E-05
0,4356091;4,38E-05
0,4470538;5,36E-05
0,4582778;5,22E-05
0,4697493;5,17E-05
0,4810871;4,68E-05
0,4922042;4,69E-05
0,50344;4,39E-05
0,5144964;4,41E-05
0,5258164;4,79E-05
0,5368465;5,02E-05
0,5481525;5,30E-05
0,5593271;5,50E-05
0,5708118;5,13E-05
0,5818326;5,18E-05
0,5929659;5,11E-05
0,6037064;4,65E-05
0,6149515;4,35E-05
0,6262616;4,03E-05
0,6370163;4,16E-05
0,6483758;3,77E-05
0,6593773;4,13E-05
0,6703323;3,87E-05
0,6817395;3,91E-05
0,6927694;3,51E-05
0,7038315;3,48E-05
0,7150971;3,18E-05
0,7264324;3,25E-05
0,7375727;2,68E-05
0,7486256;2,56E-05
0,7600224;2,41E-05
0,7709611;2,36E-05
0,7824116;2,37E-05
0,7932996;2,07E-05
0,8045537;2,01E-05
0,8156006;2,28E-05
0,8268011;2,25E-05
0,8378065;2,06E-05
0,8488303;2,12E-05
0,8599081;1,67E-05
0,8709563;1,40E-05
0,8820363;1,19E-05
0,8932509;1,52E-05
0,9043145;1,34E-05
0,9150322;1,43E-05
0,9261898;1,63E-05
0,9370715;1,47E-05
0,948273;1,43E-05
0,9591223;1,24E-05
0,9703514;8,52E-06
0,9813287;7,86E-06
0,992395;7,13E-06
1,003038;6,96E-06
1,013976;6,98E-06
1,024886;5,09E-06
1,035972;5,53E-06
1,047127;1,11E-05
1,058566;8,59E-06
1,069525;7,91E-06
1,080624;6,77E-06
1,091672;2,34E-06
