time;distance
0,04;3,055683
0,04;0,006446552
0,3733333;0,07549753
0,4693857;0,002926328
0,4925742;0,001957886
0,5123764;0,001345298
0,5496035;0,001902253
0,5496035;0,0008600091
0,5823247;0,001613972
0,5970997;0,0007328726
0,5970997;0,000712368
0,6246634;0,0005455049
0,6385105;0,0007922848
0,6515551;0,0004248698
0,6643075;0,0002322189
0,6643075;0,0001361058
0,6902523;0,0003333775
0,7020146;0,0008794991
0,7147197;0,0005697803
0,728089;0,0003532654
0,7407379;0,0004760842
0,7407379;0,0006415276
0,7664486;0,0008427077
0,777546;0,001980862
0,7910327;0,000878912
0,8045112;0,0008308252
0,8197703;0,0007779399
0,8197703;0,0007700335
0,8455601;0,00216622
0,858294;0,001319346
0,8717209;0,001778654
0,885487;0,001358115
0,885487;0,001360809
0,9120936;0,002259028
0,924131;0,0008293923
0,9365922;0,000785233
0,9519867;0,0006138156
0,9559903;0,0009491551
0,9559903;0,001090318
0,9899687;0,00299308
1,001029;0,001535245
1,012063;0,001426892
1,023126;0,001511062
1,034042;0,00147901
1,045117;0,001580568
1,056393;0,001554697
1,06795;0,001367914
1,078381;0,001272549
1,08964;0,001226083
1,100765;0,001469381
1,112338;0,002096202
1,112338;0,00190033
1,145765;0,00536939
1,156724;0,002844884
1,168185;0,00366576
1,179729;0,003654752
1,190677;0,005637623
1,201884;0,007335613
1,213089;0,005874379
1,223925;0,006746664
1,235027;0,006923067
1,246214;0,006129158
1,257297;0,00675625
1,26853;0,006941322
1,26853;0,007449746
1,301138;0,01692286
1,312966;0,009442955
1,323916;0,009116557
1,33543;0,009849625
1,347375;0,008693195
1,358498;0,008896408
1,369727;0,009402188
1,381187;0,009092643
1,393054;0,009030613
1,404183;0,008353014
1,416036;0,008027033
1,427404;0,007385264
1,427404;0,007028336
1,461647;0,01453126
1,472828;0,007603538
1,484004;0,007304706
1,49527;0,007541911
1,506015;0,00702188
1,51711;0,006477101
1,528321;0,006701851
1,538901;0,006079618
1,550061;0,005482055
1,561647;0,005069113
1,572408;0,005186578
1,583463;0,004605833
1,583463;0,004799484
1,617035;0,009328806
1,627759;0,004586485
1,638726;0,003978101
1,649635;0,003074614
1,661089;0,002819318
1,672148;0,0033004
1,683259;0,00266868
1,693888;0,003372468
1,70498;0,003418356
1,716694;0,00360486
1,727808;0,002765837
1,738531;0,002466688
1,738531;0,001913311
1,771566;0,004161105
1,782429;0,002858529
1,793165;0,002719775
1,804329;0,002433399
