time;velocity
0;-1,673719E-06
0,0175868;9,320704E-06
0,0264123;-5,483252E-06
0,0351852;-2,095549E-06
0,04664961;4,551362E-07
0,05716731;-2,179994E-06
0,06783511;1,90779E-06
0,07862031;9,954706E-07
0,08923911;-1,600768E-06
0,1001105;-4,863934E-07
0,110806;1,246741E-06
0,1217475;2,087999E-07
0,1324287;-5,628873E-07
0,143328;3,097829E-07
0,1547908;3,525574E-06
0,1724613;-4,15493E-06
0,177037;6,733375E-08
0,1875898;1,116187E-06
0,1980073;-2,699313E-06
0,2090813;2,641373E-06
0,2202636;1,095799E-06
0,2315354;-1,288223E-08
0,2427045;-1,495581E-06
0,2553065;2,948649E-06
0,2653778;-1,769921E-06
0,2767206;4,309713E-06
0,2879835;-5,329313E-07
0,2993982;1,075164E-05
0,3114163;-4,088713E-06
0,3114163;4,187863E-06
0,344737;1,726609E-05
0,3566195;-1,206506E-05
0,3678492;6,509665E-07
0,3798931;8,709228E-06
0,3918572;8,223278E-06
0,4034291;5,422216E-06
0,4143903;6,16075E-06
0,4263011;1,737736E-06
0,4375105;7,179286E-07
0,4487638;8,791993E-06
0,4602039;8,645015E-06
0,4715013;-1,336672E-05
0,4715013;7,591574E-06
0,5057317;6,91992E-05
0,5174849;-6,574787E-05
0,5174849;-2,54652E-06
0,5405091;-6,070305E-06
0,5518324;6,568618E-08
0,5632203;-6,262483E-06
0,5748872;7,428508E-07
0,5864311;-1,191748E-06
0,5981504;-5,524824E-06
0,6093272;2,761753E-06
0,6212724;-8,131084E-06
0,6325443;1,732209E-06
0,6508646;-2,273116E-06
0,654266;-5,901698E-07
0,6653889;-1,2217E-06
0,6765091;-3,631199E-06
0,687642;-1,33747E-06
0,6987333;-2,120119E-06
0,7098048;6,812159E-08
0,7208521;-3,281338E-06
0,7317743;2,948528E-06
0,7427571;-1,764267E-06
0,7536857;-1,50332E-06
0,764824;-4,22746E-07
0,7757444;-2,407301E-06
0,7869307;-2,451723E-06
0,8053926;1,980404E-06
0,8087315;-8,178409E-08
0,8198519;-2,724607E-07
0,8310898;-3,020072E-06
0,8421808;3,350656E-06
0,8532121;-1,119005E-06
0,8640969;-7,887953E-07
0,8753071;-2,10152E-06
0,8863125;1,32404E-06
0,8974013;-2,995205E-06
0,9085664;-1,407517E-06
0,9199287;1,377312E-06
0,9312543;-2,566315E-06
0,9423974;-3,361609E-08
0,9609524;-1,249306E-06
0,9643061;-7,803505E-07
0,975863;-4,151993E-06
0,9870679;-3,810774E-07
0,9982209;4,418858E-07
1,009139;-2,903177E-07
1,02035;-2,592358E-06
1,031713;1,57908E-06
1,042314;-3,254452E-06
1,053234;1,544566E-06
1,064202;-4,031589E-06
1,074999;-2,104211E-06
1,086201;1,364027E-06
1,097169;-1,59159E-07
1,115987;9,518117E-09
1,119606;-3,075105E-07
1,13032;-3,685014E-06
1,141534;2,962377E-06
1,152512;-1,399082E-07
1,163978;-7,889336E-07
1,175179;-8,131069E-07
1,186326;-1,150296E-06
1,197576;6,822393E-07
1,208718;9,320566E-07
1,219762;-1,040755E-06
1,230959;-7,072085E-08
1,24206;6,68928E-07
1,253342;1,600066E-06
1,272418;1,038483E-08
1,275291;-6,31907E-07
1,286569;-3,164352E-07
1,297827;1,808735E-06
1,308913;-1,299402E-06
1,320353;1,33188E-06
1,331828;-1,742278E-06
1,342562;-4,624715E-07
1,353911;7,533905E-08
1,365073;-5,929876E-08
1,375955;2,233661E-07
1,387073;-7,835068E-07
1,398046;1,037928E-06
1,408801;2,205871E-06
1,426993;-3,871559E-06
1,430594;4,835532E-07
1,441748;1,242044E-06
1,452754;-1,338631E-06
1,463874;3,36383E-07
1,474937;-1,258305E-06
1,485987;1,515478E-06
1,497187;-2,584585E-06
1,508355;1,876197E-06
1,519797;-3,97715E-07
1,530778;8,754897E-07
1,542263;2,07845E-08
1,553374;-7,458769E-07
1,564653;-2,369225E-07
1,582883;4,057583E-07
1,586738;1,809251E-07
1,597935;-1,188723E-06
1,608836;2,084375E-06
1,619864;5,177371E-07
1,630822;-1,600263E-06
1,641975;2,041954E-06
1,653173;4,908751E-07
1,664586;-1,00752E-06
1,675616;3,194727E-08
1,686531;-1,78031E-06
1,697726;5,426535E-06
1,709074;-6,3129E-06
1,720348;-3,664289E-08
1,738925;8,159055E-07
1,742279;-8,916762E-07
1,753566;3,727923E-07
1,764553;-1,120412E-06
1,775289;1,740611E-06
1,786417;8,57414E-07
1,797473;-2,66535E-06
1,808522;1,188893E-06
