time;distance
1;0,00841471
2;0,000678264
3;-0,007681774
4;-0,008979226
5;-0,002021218
6;0,006795088
7;0,009364021
8;0,003323717
9;-0,005772397
10;-0,009561396
11;-0,004559691
12;0,004634173
13;0,0095674
14;0,005704403
15;-0,003403195
16;-0,009381912
17;-0,006734942
18;0,002104103
19;0,009008645
20;0,00763068
21;-0,000762896
22;-0,00845507
23;-0,008373691
24;-0,00059358
25;0,007732266
26;0,008949102
27;0,001938175
28;-0,006854702
29;-0,009345396
30;-0,003243977
31;0,00583994
32;0,009554643
33;0,004484852
34;-0,004708292
35;-0,009572654
36;-0,005635962
37;0,003482407
38;0,009399068
39;0,006674268
40;-0,002186822
41;-0,009037358
42;-0,007578989
43;0,000847468
44;0,008494767
45;0,008332016
46;0,000508848
47;-0,007782152
48;-0,008918278
49;-0,00185498
50;0,006913778
51;0,00932604
52;0,003163984
53;-0,005907024
54;-0,009547141
55;-0,004409662
56;0,004782042
57;0,009577158
58;0,005567079
59;-0,003561347
60;-0,009415487
61;-0,006613072
62;0,002269371
63;0,009065364
64;0,007526704
65;-0,000931974
66;-0,008533798
67;-0,008289688
68;-0,000424077
69;0,007831428
70;0,008886755
71;0,00177164
72;-0,006972313
73;-0,009305953
74;-0,003083743
75;0,005973646
76;0,009538893
77;0,004334125
78;-0,004855417
79;-0,009580911
80;-0,00549776
81;0,003640007
82;0,009431168
83;0,006551357
84;-0,002351741
85;-0,00909266
86;-0,007473828
87;0,001016406
88;0,008572161
89;0,008246711
90;0,000339273
91;-0,007880092
92;-0,008854535
93;-0,001688161
94;0,007030302
95;0,009285137
96;0,00300326
97;-0,0060398
98;-0,009529896
99;-0,00425825
